iter	Passed	Remaining
832	24180	4847
833	24218	4820
834	24245	4790
835	24269	4761
836	24302	4732
837	24326	4702
838	24354	4673
839	24380	4643
840	24406	4614
841	24433	4584
842	24456	4554
843	24483	4525
844	24508	4495
845	24535	4466
846	24558	4436
847	24582	4406
848	24608	4376
849	24634	4347
850	24656	4317
851	24687	4288
852	24714	4259
853	24742	4229
854	24769	4200
855	24794	4171
856	24820	4141
857	24844	4111
858	24873	4082
859	24904	4054
860	24929	4024
861	24955	3995
862	24980	3965
863	25003	3935
864	25028	3906
865	25057	3877
866	25083	3847
867	25113	3819
868	25139	3789
869	25167	3760
870	25196	3731
871	25223	3702
872	25248	3673
873	25274	3643
874	25299	3614
875	25325	3584
876	25352	3555
877	25379	3526
878	25401	3496
879	25427	3467
880	25451	3437
881	25475	3408
882	25499	3378
883	25528	3349
884	25562	3321
885	25587	3292
886	25614	3263
887	25637	3233
888	25663	3204
889	25692	3175
890	25719	3146
891	25747	3117
892	25771	3087
893	25800	3059
894	25827	3030
895	25853	3000
896	25879	2971
897	25903	2942
898	25934	2913
899	25962	2884
900	25989	2855
901	26015	2826
902	26042	2797
903	26066	2768
904	26094	2739
905	26120	2710
906	26146	2680
907	26173	2651
908	26201	2622
909	26226	2593
910	26252	2564
911	26279	2535
912	26305	2506
913	26332	2477
914	26359	2448
915	26385	2419
916	26409	2390
917	26437	2361
918	26465	2332
919	26493	2303
920	26521	2274
921	26548	2245
922	26574	2216
923	26601	2188
924	26633	2159
925	26659	2130
926	26688	2101
927	26712	2072
928	26740	2043
929	26768	2014
930	26792	1985
931	26818	1956
932	26842	1927
933	26868	1898
934	26898	1869
935	26926	1841
936	26952	1812
937	26975	1783
938	26998	1753
939	27020	1724
940	27046	1695
941	27068	1666
942	27091	1637
943	27122	1608
944	27144	1579
945	27173	1551
946	27200	1522
947	27227	1493
948	27248	1464
949	27274	1435
950	27302	1406
951	27329	1377
952	27355	1349
953	27380	1320
954	27410	1291
955	27436	1262
956	27458	1233
957	27485	1204
958	27509	1176
959	27534	1147
960	27563	1118
961	27590	1089
962	27617	1061
963	27640	1032
964	27668	1003
965	27693	974
966	27719	945
967	27746	917
968	27774	888
969	27802	859
970	27828	831
971	27856	802
972	27882	773
973	27907	744
974	27931	716
975	27959	687
976	27987	658
977	28012	630
978	28037	601
979	28062	572
980	28090	544
981	28119	515
982	28147	486
983	28176	458
984	28201	429
985	28226	400
986	28249	372
987	28274	343
988	28299	314
989	28326	286
990	28357	257
991	28383	228
992	28413	200
993	28439	171
994	28463	143
995	28486	114
996	28519	85
997	28544	57
998	28570	28
999	28596	0
